PlantID,Treatment,Alive,Dead
Control-1-3A,Control,1.3,0.8
Control-1-3B,Control,1.1,0.6
Control-1-4A,Control,1.5,0.2
Control-1-4B,Control,1.4,0.8
Control-2-3A,Control,1.42,0.14
Control-2-3B,Control,0.71,0.85
Control-2-4A,Control,1.84,0.85
Control-2-4B,Control,0.99,0.57
Control-2-7A,Control,1,0.9
Control-2-7B,Control,0.9,0.8
Control-2-8A,Control,0.9,0.6
Control-2-8B,Control,0.9,0.1
Control-3-3A,Control,1.3,0.7
Control-3-3B,Control,1,0.3
Control-3-4A,Control,1.1,0.5
Control-3-4B,Control,1.1,0.4
Control-3-7A,Control,1.4,0.4
Control-3-7B,Control,0.9,0.8
Control-3-8A,Control,0.6,0.6
Control-3-8B,Control,1.6,0.6
Control-4-3A,Control,0.9,0.5
Control-4-3B,Control,0.9,0.4
Control-4-4A,Control,1.6,0.6
Control-4-4B,Control,1.6,0.5
Control-5-3A,Control,1.3,1.1
Control-5-3B,Control,0.5,0.5
Control-5-4A,Control,0.9,0.7
Control-5-4B,Control,0.9,0.5
Control-5-7A,Control,1,1.1
Control-5-7B,Control,0.9,0.6
Control-5-8A,Control,1.4,0.5
Control-5-8B,Control,1,0.4
Control-6-3A,Control,1.1,0.5
Control-6-3B,Control,1.1,0.9
Control-6-4A,Control,1.4,0.6
Control-6-4B,Control,1.6,0.7
Heatwave-1-3A,Heatwave,1.4,0.3
Heatwave-1-3B,Heatwave,0.8,
Heatwave-1-4A,Heatwave,1.3,0.7
Heatwave-1-4B,Heatwave,1,
Heatwave-2-3A,Heatwave,0.85,0.57
Heatwave-2-3B,Heatwave,0.57,0.99
Heatwave-2-4A,Heatwave,0.85,0.57
Heatwave-2-4B,Heatwave,0.43,0.57
Heatwave-2-7A,Heatwave,,1.5
Heatwave-2-7B,Heatwave,,1.6
Heatwave-2-8A,Heatwave,0.5,1.3
Heatwave-2-8B,Heatwave,0.3,1.4
Heatwave-3-3A,Heatwave,0.8,0.2
Heatwave-3-3B,Heatwave,0.9,0.8
Heatwave-3-4A,Heatwave,1,0.3
Heatwave-3-4B,Heatwave,0.6,0.8
Heatwave-3-7A,Heatwave,0.5,0.8
Heatwave-3-7B,Heatwave,0.2,1.4
Heatwave-3-8A,Heatwave,0.4,1
Heatwave-3-8B,Heatwave,0.3,1.6
Heatwave-4-3A,Heatwave,1.2,0.7
Heatwave-4-3B,Heatwave,1,0.5
Heatwave-4-4A,Heatwave,1.6,0.3
Heatwave-4-4B,Heatwave,0.9,0.6
Heatwave-5-3A,Heatwave,1,0.6
Heatwave-5-3B,Heatwave,0.8,0.3
Heatwave-5-4A,Heatwave,0.8,0.9
Heatwave-5-4B,Heatwave,0.4,0.9
Heatwave-5-7A,Heatwave,0.3,1.1
Heatwave-5-7B,Heatwave,0.1,2.1
Heatwave-5-8A,Heatwave,0.8,0.5
Heatwave-5-8B,Heatwave,,0.9
Heatwave-6-3A,Heatwave,0.3,0.4
Heatwave-6-3B,Heatwave,0.5,0.4
Heatwave-6-4A,Heatwave,1,0.4
Heatwave-6-4B,Heatwave,0.9,1.1
